,AskPrice1,BidPrice1,InstrumentID,LastPrice,UpdateMillisec,UpdateTime
134,456.5,456.0,i1801,456.0,201,21:01:15
135,456.5,456.0,i1801,456.5,683,21:01:14
136,456.5,456.0,i1801,456.5,142,21:01:14
137,456.5,456.0,i1801,456.0,662,21:01:15
138,456.5,456.0,i1801,456.5,179,21:01:16
139,456.5,456.0,i1801,456.5,699,21:01:16
140,456.5,456.0,i1801,456.5,139,21:01:17
141,456.5,456.0,i1801,456.5,699,21:01:17
142,456.5,456.0,i1801,456.0,688,21:01:18
143,456.5,456.0,i1801,456.0,191,21:01:19
144,456.5,456.0,i1801,456.0,149,21:01:18
145,456.5,456.0,i1801,456.5,665,21:01:19
146,456.5,456.0,i1801,456.5,185,21:01:20
147,456.5,455.5,i1801,456.0,628,21:01:20
148,456.0,455.5,i1801,456.0,698,21:01:22
149,456.0,455.5,i1801,456.0,170,21:01:21
150,456.0,455.5,i1801,456.0,152,21:01:23
151,456.5,456.0,i1801,456.0,199,21:01:24
152,456.5,456.0,i1801,456.0,702,21:01:23
153,456.5,456.0,i1801,456.0,178,21:01:25
154,456.5,456.0,i1801,456.5,701,21:01:25
155,456.0,455.5,i1801,456.0,183,21:01:27
156,456.5,456.0,i1801,456.5,193,21:01:26
157,456.0,455.5,i1801,456.0,696,21:01:27
158,456.0,455.5,i1801,456.0,197,21:01:29
159,456.0,455.5,i1801,456.0,697,21:01:28
160,456.0,455.5,i1801,455.5,570,21:01:30
161,456.0,455.5,i1801,456.0,201,21:01:30
162,456.0,455.5,i1801,456.0,699,21:01:31
163,456.0,455.5,i1801,456.0,186,21:01:31
164,456.0,455.5,i1801,456.0,592,21:01:32
165,456.0,455.5,i1801,456.0,197,21:01:33
166,456.0,455.5,i1801,456.0,654,21:01:33
167,456.0,455.5,i1801,455.5,135,21:01:32
168,455.5,455.0,i1801,455.5,171,21:01:34
169,456.0,455.0,i1801,455.5,683,21:01:34
170,456.0,455.0,i1801,456.0,653,21:01:35
171,456.0,455.5,i1801,455.5,197,21:01:35
172,456.0,455.0,i1801,455.5,582,21:01:36
173,456.0,455.0,i1801,456.0,157,21:01:37
174,456.0,455.0,i1801,456.0,157,21:01:36
175,456.0,455.0,i1801,455.0,662,21:01:37
176,455.5,455.0,i1801,455.5,148,21:01:38
177,455.5,455.0,i1801,455.5,639,21:01:38
178,455.5,455.0,i1801,455.5,198,21:01:39
179,455.5,455.0,i1801,455.5,565,21:01:39
180,455.5,455.0,i1801,455.0,133,21:01:40
181,455.5,455.0,i1801,455.5,622,21:01:40
182,455.5,455.0,i1801,455.5,163,21:01:41
183,455.5,455.0,i1801,455.5,683,21:01:42
184,455.5,455.0,i1801,455.5,688,21:01:41
185,455.5,455.0,i1801,455.5,160,21:01:43
186,455.5,455.0,i1801,455.5,200,21:01:42
187,456.0,455.5,i1801,455.5,168,21:01:47
188,456.0,455.0,i1801,455.5,685,21:01:43
189,456.0,455.0,i1801,455.5,690,21:01:45
190,456.0,455.0,i1801,455.5,698,21:01:44
191,456.0,455.0,i1801,455.5,676,21:01:46
192,456.0,455.0,i1801,455.5,179,21:01:44
193,456.0,455.5,i1801,455.5,195,21:01:48
194,456.0,455.5,i1801,455.5,695,21:01:47
195,456.0,455.5,i1801,455.5,653,21:01:48
196,456.0,455.0,i1801,455.5,697,21:01:49
197,456.0,455.0,i1801,455.5,194,21:01:49
198,456.0,455.0,i1801,455.5,192,21:01:50
199,456.0,455.5,i1801,456.0,695,21:01:50
200,455.5,455.0,i1801,455.5,653,21:01:51
201,456.0,455.0,i1801,455.5,193,21:01:51
202,456.0,455.5,i1801,455.5,651,21:01:52
203,456.0,455.5,i1801,455.5,163,21:01:52
204,456.0,455.5,i1801,455.5,154,21:01:54
205,456.0,455.0,i1801,455.0,195,21:01:53
206,456.0,455.5,i1801,455.5,680,21:01:55
207,456.0,455.0,i1801,455.0,688,21:01:53
208,456.0,455.5,i1801,456.0,190,21:01:56
209,456.0,455.5,i1801,455.5,155,21:01:55
210,456.0,455.5,i1801,456.0,631,21:01:56
211,456.5,456.0,i1801,456.0,548,21:01:57
212,456.5,456.0,i1801,456.0,150,21:01:57
213,456.5,455.5,i1801,456.0,184,21:01:58
214,456.5,455.5,i1801,456.0,198,21:01:59
215,456.5,455.5,i1801,456.0,669,21:01:59
216,456.0,455.5,i1801,456.0,690,21:01:58
217,456.0,455.5,i1801,456.0,196,21:02:00
218,456.0,455.5,i1801,456.0,693,21:02:00
219,456.0,455.5,i1801,455.5,193,21:02:01
220,456.0,455.5,i1801,455.5,184,21:02:02
221,456.0,455.5,i1801,455.5,702,21:02:02
222,456.0,455.5,i1801,455.5,184,21:02:03
223,456.0,455.5,i1801,455.5,693,21:02:03
224,456.0,455.5,i1801,455.5,689,21:02:04
225,456.0,455.5,i1801,455.5,182,21:02:04
226,456.0,455.5,i1801,455.5,180,21:02:05
